brazil,congo_forest,day,month,year
3632,850,15b,4,2006
3910,920,15a,5,2006
3570,860,15b,5,2006
3302,920,15a,6,2006
3772,860,15b,6,2006
6460,750,15a,7,2006
5372,720,15b,7,2006
7270,640,15a,8,2006
8230,720,15b,8,2006
6402,640,15a,9,2006
8160,590,15b,9,2006
8250,640,15a,10,2006
8170,620,15b,10,2006
3242,590,15a,11,2006
8120,520,15b,11,2006
8400,590,15a,12,2006
7840,610,15b,12,2006
7162,710,15a,1,2007
7500,920,15b,1,2007
5934,720,15a,2,2007
4152,850,15b,2,2007
3710,850,15a,3,2007
3970,860,15b,3,2007
6110,900,15a,4,2007
5090,880,15b,4,2007
6260,790,15a,5,2007
4880,870,15b,5,2007
7270,920,15a,6,2007
5032,1030,15b,6,2007
6860,940,15a,7,2007
8440,840,15b,7,2007
7420,720,15a,8,2007
7400,710,15b,8,2007
7570,730,15a,9,2007
8420,670,15b,9,2007
8280,640,15a,10,2007
8200,660,15b,10,2007
7800,580,15a,11,2007
8000,460,15b,11,2007
3122,590,15a,12,2007
7830,610,15b,12,2007
8130,700,15a,1,2008
6870,610,15b,1,2008
5570,860,15a,2,2008
3922,800,15b,2,2008
4560,920,15a,3,2008
4580,960,15b,3,2008
4740,840,15a,4,2008
4640,890,15b,4,2008
5740,940,15a,5,2008
6010,740,15b,5,2008
6640,850,15a,6,2008
6520,850,15b,6,2008
6990,830,15a,7,2008
7320,920,15b,7,2008
7800,620,15a,8,2008
7072,720,15b,8,2008
7780,610,15a,9,2008
8170,650,15b,9,2008
8270,590,15a,10,2008
8150,610,15b,10,2008
8070,650,15a,11,2008
8110,640,15b,11,2008
8030,500,15a,12,2008
6442,490,15b,12,2008
8370,680,15a,1,2009
7530,710,15b,1,2009
6390,820,15a,2,2009
6630,830,15b,2,2009
6190,820,15a,3,2009
4040,860,15b,3,2009
5270,940,15a,4,2009
5970,900,15b,4,2009
3180,910,15a,5,2009
2650,930,15b,5,2009
4740,1000,15a,6,2009
5180,920,15b,6,2009
6980,930,15a,7,2009
8370,960,15b,7,2009
7560,1020,15a,8,2009
8250,1020,15b,8,2009
9130,680,15a,9,2009
8150,780,15b,9,2009
8310,760,15a,10,2009
8330,940,15b,10,2009
8530,930,15a,11,2009
8670,780,15b,11,2009
8710,710,15a,12,2009
7112,820,15b,12,2009
8960,710,15a,1,2010
7800,820,15b,1,2010
6410,820,15a,2,2010
4300,880,15b,2,2010
3990,770,15a,3,2010
5390,760,15b,3,2010
4350,920,15a,4,2010
2630,910,15b,4,2010
2940,870,15a,5,2010
6160,840,15b,5,2010
6390,790,15a,6,2010
6310,890,15b,6,2010
7170,930,15a,7,2010
7280,850,15b,7,2010
6670,950,15a,8,2010
4012,1030,15b,8,2010
7670,890,15a,9,2010
7402,730,15b,9,2010
9020,820,15a,10,2010
6232,890,15b,10,2010
7250,620,15a,11,2010
8310,750,15b,11,2010
6862,750,15a,12,2010
8480,820,15b,12,2010
9410,740,15a,1,2011
8530,770,15b,1,2011
6800,850,15a,2,2011
5510,820,15b,2,2011
5370,850,15a,3,2011
5190,900,15b,3,2011
4390,920,15a,4,2011
4850,890,15b,4,2011
7030,910,15a,5,2011
7202,910,15b,5,2011
7230,970,15a,6,2011
6250,930,15b,6,2011
6400,910,15a,7,2011
7350,860,15b,7,2011
8130,810,15a,8,2011
8490,790,15b,8,2011
7812,910,15a,9,2011
8800,850,15b,9,2011
8490,870,15a,10,2011
8110,880,15b,10,2011
7702,900,15a,11,2011
8560,850,15b,11,2011
8240,830,15a,12,2011
8262,800,15b,12,2011
